"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Rest in Peace","W","M","14366","5.87","1666","9.16","51","0.5%","","6","","11","","17","","34","",""
"Esoteric Duplicator","U","M","12266","5.05","1530","7.57","805","9.0%","44.8%","154","","217","","371","","429","",""
"Simulacrum Synthesizer","U","M","10813","4.62","1257","7.02","523","7.2%","45.5%","107","","123","","230","","291","",""
"Worldwalker Helm","U","M","12928","5.27","1521","8.30","301","3.4%","","62","","69","","131","","169","",""
"Greed's Gambit","B","M","11651","4.75","1440","6.97","1786","21.3%","51.5%","283","","448","","731","49.5%","1051","52.8%","-3.3pp"
"Harvester of Misery","B","M","3661","1.65","2270","1.67","12587","91.9%","56.0%","2189","58.2%","3287","63.0%","5476","61.1%","7016","51.9%","9.2pp"
"Hostile Investigator","B","M","3748","1.67","2458","1.71","14210","93.7%","57.5%","2564","62.9%","3579","62.3%","6143","62.5%","7941","53.4%","9.1pp"
"Generous Plunderer","R","M","5553","2.41","1623","2.68","8329","85.0%","54.6%","1466","62.1%","1942","55.1%","3408","58.1%","4920","52.2%","6.0pp"
"Legion Extruder","R","M","6494","2.80","1473","3.15","5868","68.8%","52.2%","983","49.6%","1348","55.9%","2331","53.2%","3528","51.5%","1.7pp"
"Memory Vessel","R","M","14165","5.74","1602","8.80","137","1.4%","","25","","31","","56","","81","",""
"Molten Duplication","R","M","11134","4.65","1146","7.31","878","13.3%","46.8%","120","","218","","338","","538","47.0%",""
"Territory Forge","R","M","13441","5.69","1508","8.81","163","1.8%","","24","","45","","69","","94","",""
"Ancient Cornucopia","G","M","8983","3.76","1417","5.12","4254","51.9%","51.2%","769","51.6%","984","50.5%","1753","51.0%","2492","51.3%","-0.3pp"
